"id","label","comment","subPropertyOf","equivalentProperty","subproperties","domainIncludes","rangeIncludes","inverseOf","supersedes","supersededBy","isPartOf"
"http://schema.org/inLanguage","inLanguage","The language of the content or performance or used in an action. Please use one of the language codes from the <a href=""http://tools.ietf.org/html/bcp47"">IETF BCP 47 standard</a>. See also <a class=""localLink"" href=""http://schema.org/availableLanguage"">availableLanguage</a>.","","","","http://schema.org/CommunicateAction, http://schema.org/CreativeWork, http://schema.org/Event, http://schema.org/LinkRole, http://schema.org/WriteAction","http://schema.org/Language, http://schema.org/Text","","http://schema.org/language",""
"http://schema.org/subtitleLanguage","subtitleLanguage","Languages in which subtitles/captions are available, in <a href=""http://tools.ietf.org/html/bcp47"">IETF BCP 47 standard format</a>.","","","","http://schema.org/Movie, http://schema.org/ScreeningEvent, http://schema.org/TVEpisode","http://schema.org/Language, http://schema.org/Text","","",""
"http://schema.org/offers","offers","An offer to provide this item&#x2014;for example, an offer to sell a product, rent the DVD of a movie, perform a service, or give away tickets to an event.","","","","http://schema.org/AggregateOffer, http://schema.org/CreativeWork, http://schema.org/Event, http://schema.org/MenuItem, http://schema.org/Product, http://schema.org/Service, http://schema.org/Trip","http://schema.org/Offer","","",""
"http://schema.org/genre","genre","Genre of the creative work, broadcast channel or group.","","","http://schema.org/legislationType","http://schema.org/BroadcastChannel, http://schema.org/CreativeWork, http://schema.org/MusicGroup","http://schema.org/Text, http://schema.org/URL","","",""
"http://schema.org/provider","provider","The service provider, service operator, or service performer; the goods producer. Another party (a seller) may offer those services or goods on behalf of the provider. A provider may also serve as the seller.","","","","http://schema.org/CreativeWork, http://schema.org/Invoice, http://schema.org/ParcelDelivery, http://schema.org/Reservation, http://schema.org/Service, http://schema.org/Trip","http://schema.org/Organization, http://schema.org/Person","","http://schema.org/carrier",""
"http://schema.org/member","member","A member of an Organization or a ProgramMembership. Organizations can be members of organizations; ProgramMembership is typically for individuals.","","","","http://schema.org/Organization, http://schema.org/ProgramMembership","http://schema.org/Organization, http://schema.org/Person","http://schema.org/memberOf","http://schema.org/members, http://schema.org/musicGroupMember",""
"http://schema.org/memberOf","memberOf","An Organization (or ProgramMembership) to which this Person or Organization belongs.","","","http://schema.org/affiliation","http://schema.org/Organization, http://schema.org/Person","http://schema.org/Organization, http://schema.org/ProgramMembership","http://schema.org/member","",""
"http://schema.org/author","author","The author of this content or rating. Please note that author is special in that HTML 5 provides a special mechanism for indicating authorship via the rel tag. That is equivalent to this and may be used interchangeably.","","","","http://schema.org/CreativeWork, http://schema.org/Rating","http://schema.org/Organization, http://schema.org/Person","","",""
"http://schema.org/instructor","instructor","A person assigned to instruct or provide instructional assistance for the <a class=""localLink"" href=""http://schema.org/CourseInstance"">CourseInstance</a>.","","","","http://schema.org/CourseInstance","http://schema.org/Person","","",""
"http://schema.org/isPartOf","isPartOf","Indicates an item or CreativeWork that this item, or CreativeWork (in some sense), is part of.","","","http://schema.org/inDefinedTermSet, http://schema.org/partOfEpisode, http://schema.org/partOfSeason, http://schema.org/partOfSeries, http://schema.org/partOfTVSeries","http://schema.org/CreativeWork, http://schema.org/Trip","http://schema.org/CreativeWork, http://schema.org/Trip","http://schema.org/hasPart","",""
"http://schema.org/hasPart","hasPart","Indicates an item or CreativeWork that is part of this item, or CreativeWork (in some sense).","","","http://schema.org/containsSeason, http://schema.org/episode, http://schema.org/hasDefinedTerm, http://schema.org/season","http://schema.org/CreativeWork, http://schema.org/Trip","http://schema.org/CreativeWork, http://schema.org/Trip","http://schema.org/isPartOf","",""
"http://www.bigdatau.org/schema#dateIndexed","dateIndexed","Date of first appearance of resource on TCC Web Portal, which is the interface to interact with ERuDIte resources and materials","","","","http://schema.org/CreativeWork","http://schema.org/Date","","","",""
"http://www.bigdatau.org/schema#enables","enables","Indicates that the mastery/completion of a work can enable understanding of another. Similar to schema:coursePrerequisites, but at the CreativeWork level.","","","","http://schema.org/CreativeWork","http://schema.org/CreativeWork","","","",""
"http://www.bigdatau.org/schema#provides","provides","Indicates that an Organization provides a CreativeWork.","","","","http://schema.org/Organization","http://schema.org/CreativeWork","http://schema.org/provider","","",""
"http://www.bigdatau.org/schema#syllabus","syllabus","Captures the syllabus text (i.e. the order and structure in which concepts are taught) for a Course.","","","","http://schema.org/Course","http://schema.org/Text","","","",""

